mean_x,std_x,median_x,rms_x,mean_y,std_y,median_y,rms_y,mean_z,std_z,median_z,rms_z,Activity
-2.0400087818305,1.564821850927779,-2.00942145,2.569860227040325,-4.973656215655,4.162999904383334,-5.63488215,6.4826304795900205,-2.979691706550001,7.197506114183319,-6.6940794,7.781590241983309,hand_wash
-4.2759002245,0.8250287515141808,-4.17092655,4.3545715621174645,-5.107187555325,1.7032500233904486,-4.829556950000001,5.383044929762399,-5.90717496965,5.121941740520136,-8.389752999999999,7.814308516904021,hand_wash
-4.647685085999999,1.1332725774134589,-4.53317315,4.7835209445038895,-4.958825088575001,2.6574849666622784,-4.71100355,5.624457044128507,-3.19445608163125,6.292742263022643,-6.57013735,7.050117611311895,hand_wash
-4.6448080775,1.1528678768655212,-4.7373486,4.785396917442052,-4.410473371619999,2.660355625813375,-4.337979,5.148987637140574,-1.7775116469249996,6.912589517751314,-3.62546075,7.129094035098502,hand_wash
-4.316471858,0.9578011414013612,-4.3098375,4.421201066430879,-5.9262872267,2.270892814208456,-5.71092415,6.345466261949324,-5.307997942815,4.612247460368314,-7.354506150000001,7.028121137972298,hand_wash
-1.3620895194385,1.5107689948344576,-1.4573694,2.0327333217438874,-5.1106184001875,5.374879083474187,-5.6264995,7.411850125400433,-2.13881233115,7.385172489971948,-4.3236092500000005,7.679774668748498,hand_wash
-1.29934300724575,1.9293701446777487,-1.19451595,2.324103102868789,-7.716603237825,2.9142172630189367,-7.33055595,8.24726597912597,-4.76801086293875,5.334290016295466,-6.21926715,7.149646210974815,hand_wash
-4.141973714,0.8479296174624679,-4.102069800000001,4.227662879422456,-4.885010577399999,1.596289327923032,-4.8014155,5.13858906809104,-6.0925015916025,5.430347137869566,-8.3011375,8.156808444873077,hand_wash
-4.112784413749999,1.1184867090408022,-4.01046,4.261793122734855,-5.372397033825,2.090832186999547,-4.976850649999999,5.763965663946957,-4.79055998165,5.760368855421301,-7.67005015,7.486545242294198,hand_wash
-3.676651371735,1.0234718091059376,-3.57636295,3.816102870331898,-5.68297119614175,2.0533589734547197,-5.4953722,6.041680559443634,-5.693260813849999,5.213379171816746,-7.6670565,7.715218258589954,hand_wash
0.22990092081575,1.7576747445099774,0.34667908,1.7704664327830189,-6.452598739670751,4.768596827541323,-7.094047700000001,8.019893852762555,-1.74693920859,6.450787812500598,-4.3128315,6.675359791195566,hand_wash
-1.09497299499,3.208539139761202,-0.050894165,3.386436543419716,-6.219491496749999,2.7960082188439364,-5.5492605,6.817638321522255,-6.8547674487725,3.435205441985945,-7.9251194,7.66544007962552,hand_wash
-4.58755512175,0.8248233530514564,-4.4810815,4.66093281703613,-5.338794919750001,1.649826181845122,-5.141508,5.587293871757088,-5.4975787271900005,4.972356565572121,-7.8664418,7.408501255470113,hand_wash
-4.8047804045,1.183408063839828,-4.76668775,4.948016597022933,-5.9635387590525,1.9726452034356456,-5.733078,6.280556926468583,-3.03334313335,5.393905693171551,-4.8876361500000005,6.182447221360083,hand_wash
