mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-1.207736496565,1.96181716153032,-4.1434376809,7.0480577747181234,3.6955510800800004,6.274790638839854,hand_wash
0.8654941969700001,1.882377717887646,-8.02269273665,4.094481667883964,-5.53398601675,4.0408684657183,hand_wash
-1.81379019863,2.586958283769951,-7.1856453865,2.727902978608535,-5.62139224473,3.8775591268651324,hand_wash
-3.901834083,0.8414515227255128,-6.0593575054999995,1.2173294656082752,-6.360980295530001,3.9019731163224454,hand_wash
-4.2719903585,1.1000199968033617,-5.242500160115001,2.2128384172734217,-6.590662641300001,4.823858931445801,hand_wash
-4.3319855914800005,1.5833962349736965,-6.133369618445,3.2263369881208566,-0.8984556539000002,5.892631253773485,hand_wash
-4.27152331,1.2763497007634506,-5.14390921055,2.331598871164684,-5.929014556500001,5.212245873236879,hand_wash
-4.1831530945,0.7491483644297462,-6.519494638,1.8418019366683822,-4.7577242715,4.408347427422638,hand_wash
-3.8800214575000003,0.8820630410659063,-5.793246884249999,2.2608292752461185,-7.510763309985,2.9192843081019615,hand_wash
-4.7220444545,1.0626439335608346,-6.21145921,1.9180779450136791,-4.50627114515,4.601978985690564,hand_wash
-4.6096940995,0.9492444398079097,-6.31550483815,1.9107531366409731,-6.3848765487565,2.335107765008685,hand_wash
-4.5482019705,0.6296078656989309,-6.221248860299999,2.2391044720831053,-3.6251015545499996,5.102919143886701,hand_wash
-4.7705256325,0.5959635660986544,0.23022125231,0.9077480434627571,7.319592813000001,0.4678737309878462,hand_wash
