mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-2.7435667173000002,1.1165683811325458,-2.0585552023,6.05336911360651,7.01637735973,1.9498422604231682,hand_wash
-1.6317507475,1.5350178502074916,-8.0030536135,5.496755338783181,-0.8332512333,6.4550124322108635,hand_wash
-0.54231624399,1.1101864899142344,-8.50680997,2.940249141138368,-3.2140443775999996,4.409724351429501,hand_wash
-2.1112935425000003,1.7911137448033778,-6.2275177979,2.4714448255513606,-8.167315944999999,2.7461848174215184,hand_wash
-4.274403361,0.8845221227440573,-5.396937011000001,1.2610753796663827,-7.965176296000002,1.2538010732859801,hand_wash
-4.58075027,0.575868460744441,-5.526064496,1.3416959653602576,-7.810565859000002,1.1735074722199705,hand_wash
-4.908616489999999,0.7982718793550947,-6.502334356999999,2.08517600826026,-0.0015088676999999162,4.631086671382965,hand_wash
-5.010368865999999,0.9599099769919988,-5.982303740999998,2.0269468513953224,-3.2078652071499993,5.226288412122534,hand_wash
-4.656959793000001,0.9395434479274469,-5.910345371,1.3236558258572637,-7.353691884000001,1.3813133054819193,hand_wash
-5.0196855010000005,0.9202087214189719,-4.4898353751,3.1679773945540264,-0.1995889485,6.523505674013702,hand_wash
-5.1203242399999995,0.8787958540430897,-4.2087678279,3.8873135189313346,0.9446795352999997,5.942287032969598,hand_wash
-4.3906815347,1.291050060580103,-5.0829619070000005,1.573090217067993,-8.107117139000001,1.7133024035824183,hand_wash
-4.557135384999999,0.8447328852318864,-5.126467464999999,1.3731192195143391,-8.210594005,1.6303828616547178,hand_wash
-5.127473363,0.8316161990464647,-6.275238579,2.6262290329675233,1.0959010527000002,4.33725594743181,hand_wash
-5.407822392000002,0.6811750251822611,-2.9428682856999995,2.656735317436246,6.127322137,0.9781834814493559,hand_wash
